"","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RH","SR","TOUT"
"2006-01",1.01548387096774,6.23870967741935,21.4709677419355,27.5387096774194,53.1935483870968,95.7241379310345,22.258064516129,719.512903225806,29.2903225806452,0.437096774193548,23.3967741935484
"2006-02",1.19571428571429,9.52142857142857,21.7107142857143,31.0714285714286,48.7857142857143,89.3571428571429,24.6363636363636,719.25,37.6071428571429,0.463214285714286,22.2796428571429
"2006-03",1.43166666666667,4.12,15.32,19.3033333333333,54.9,84.551724137931,38,713.966666666667,45.0666666666667,0.539333333333333,26.3393333333333
"2006-04",1.46666666666667,6.01333333333333,12.9066666666667,18.6533333333333,54.9333333333333,82.5,23.5714285714286,709.563333333333,42.1666666666667,0.549,30.8986666666667
"2006-05",1.63161290322581,5.05161290322581,13.4161290322581,18.2935483870968,55.6129032258064,66.7741935483871,23.1851851851852,709.822580645161,41.6451612903226,0.583225806451613,31.5761290322581
"2006-06",1.62566666666667,3.91333333333333,10.49,14.22,47.5666666666667,55.4666666666667,14.8888888888889,711.446666666667,40.0666666666667,0.641666666666667,32.8893333333333
"2006-07",0.662903225806452,3.24193548387097,9.87741935483871,12.941935483871,43.6129032258064,52.3548387096774,18.0555555555556,712.058064516129,46.7741935483871,0.625161290322581,32.4574193548387
"2006-08",0.682903225806452,4.24193548387097,9.73225806451613,13.8193548387097,44.9354838709677,54.2068965517241,20.8260869565217,711.354838709677,43.258064516129,0.565161290322581,33.3367741935484
"2006-09",1.17333333333333,4.78095238095238,16.5333333333333,21.1380952380952,55.875,74.4285714285714,29.0833333333333,711.126666666667,55.2,0.445333333333333,29.6316666666667
"2006-10",1.37172413793103,8.27,21.1133333333333,29.2066666666667,48.1,71.3333333333333,28.25,688.141935483871,56.6333333333333,0.364666666666667,26.7406666666667
"2006-11",1.46259259259259,10.0620689655172,27.1413793103448,37.0344827586207,50.551724137931,95.1034482758621,35.8695652173913,712.431034482759,51.1379310344828,0.359655172413793,23.2393103448276
"2006-12",1.258,12.3633333333333,32.1,44.2933333333333,35.2333333333333,88.4285714285714,31.6785714285714,690.38064516129,57.0666666666667,0.327,18.733
"2007-01",0.976774193548387,21.0677419354839,30.5870967741935,51.4709677419355,23.6129032258065,70.8709677419355,30.4230769230769,712.841935483871,64.6129032258064,0.270645161290323,14.4238709677419
"2007-02",1.10391304347826,10.9928571428571,23.1321428571429,33.9678571428571,44.4642857142857,80.0384615384615,24.125,711.542857142857,49.3571428571429,0.438928571428571,21.4442857142857
"2007-03",0.735666666666667,6.26,19.0366666666667,25.1233333333333,49.4333333333333,83.3333333333333,20.4545454545455,711.8,47.8,0.473433333333333,24.7656666666667
"2007-04",1.10433333333333,7.72,17.1033333333333,24.6466666666667,48.4666666666667,72.6,23.4210526315789,710.11,52.9666666666667,0.478533333333333,25.422
"2007-05",1.08740740740741,6.325,19.3464285714286,25.4892857142857,52.3928571428571,72.2173913043478,28.1923076923077,710.078571428571,58.5714285714286,0.513571428571429,28.7689285714286
"2007-06",0.961034482758621,5.57931034482759,15.548275862069,20.9586206896552,50.4137931034483,93.7777777777778,27.28,710.196551724138,54.9310344827586,0.542758620689655,31.0765517241379
"2007-07",0.825806451612903,8.70666666666667,14.5206896551724,21.2379310344828,46.8333333333333,90.6071428571429,30.35,711.306666666667,61.5666666666667,0.532333333333333,30.0193333333333
"2007-08",1.05838709677419,6.13870967741935,11.2677419354839,17.2290322580645,41.1290322580645,58.9666666666667,19.9230769230769,711.616129032258,53.3870967741936,0.596774193548387,31.5203225806452
"2007-09",1.23172413793103,6.12068965517241,13.1103448275862,19.048275862069,41.1379310344828,55.5555555555556,27.2083333333333,711.9,60.551724137931,0.501034482758621,29.528275862069
"2007-10",1.2351724137931,5.26896551724138,14.2862068965517,19.3689655172414,56.3448275862069,62.6,21.1818181818182,711.934482758621,42.8275862068966,0.539310344827586,28.9868965517241
"2007-11",1.08866666666667,7.97333333333333,25.74,33.53,49.5862068965517,89.6666666666667,30.1153846153846,713.033333333333,55.5666666666667,0.375,22.888
"2007-12",1.15677419354839,8.84516129032258,28.4741935483871,37.1290322580645,51.9032258064516,94.9354838709677,28.8275862068966,705.455172413793,34.8709677419355,0.421290322580645,23.0987096774194
"2008-01",1.8041935483871,12.6612903225806,26.3225806451613,38.7838709677419,42.0967741935484,93.5161290322581,31.6,711.177777777778,47.8387096774194,0.404516129032258,18.4506451612903
"2008-02",1.41607142857143,5.70357142857143,19.5035714285714,24.9964285714286,61.3571428571429,78.2222222222222,20.6086956521739,710.442857142857,30.8214285714286,0.527142857142857,26.1314285714286
"2008-03",0.411034482758621,7.18275862068965,13.3344827586207,20.3379310344828,61.6206896551724,96.4444444444444,20.5185185185185,709.986206896552,33.1034482758621,0.649034482758621,27.0696551724138
"2008-04",0.715714285714286,5.84285714285714,14.125,19.7964285714286,64.5357142857143,81.24,24.36,709.639285714286,39.1428571428571,0.644071428571429,29.4060714285714
"2008-05",0.801034482758621,6.2448275862069,13.9310344827586,20.0068965517241,55.9655172413793,67.5357142857143,24.3846153846154,708.23,38.0666666666667,0.596666666666667,31.5846666666667
"2008-06",0.582,6.23333333333333,7.19666666666667,13.43,36.2758620689655,51.448275862069,15.1428571428571,710.383333333333,30.1333333333333,0.706333333333333,33.807
"2008-07",0.658064516129032,6.39677419354839,10.4677419354839,16.8709677419355,40.7,68.8709677419355,20.4090909090909,711.170967741935,41.9677419354839,0.588387096774194,30.0283870967742
"2008-08",0.815714285714286,4.86551724137931,11.7413793103448,16.6379310344828,47.6206896551724,69.8928571428571,21.7727272727273,709.720689655172,38.8965517241379,0.498965517241379,31.228275862069
"2008-09",1.01740740740741,6.50740740740741,14.4222222222222,20.8851851851852,44.962962962963,51.2962962962963,24.4347826086957,712.533333333333,56.3703703703704,0.37,26.7925925925926
"2008-10",1.16064516129032,6.95161290322581,17.6129032258065,24.5354838709677,46.6129032258064,73.8620689655172,31.1363636363636,713.693548387097,59.5161290322581,0.444193548387097,25.3603225806452
"2008-11",1.33966666666667,6.81,22.5466666666667,29.33,46.6333333333333,78.9655172413793,25.5333333333333,712.816666666667,49.0333333333333,0.407666666666667,23.3233333333333
"2008-12",1.57741935483871,14.1032258064516,32.2774193548387,46.3709677419355,38.741935483871,91.4516129032258,31.25,712.258064516129,44.4193548387097,0.37,21.4929032258065
"2009-01",1.18612903225806,9.86451612903226,22.7096774193548,32.5677419354839,38.8387096774194,68.8064516129032,20.6333333333333,713.041935483871,44.5806451612903,0.426870967741936,21.5309677419355
"2009-02",0.952222222222222,8.39285714285714,17.575,25.9678571428571,45.9642857142857,70.3846153846154,19,712.835714285714,39.4285714285714,0.559928571428571,24.5457142857143
"2009-03",0.595185185185185,8.58333333333333,17.5366666666667,26.1166666666667,44.8333333333333,74.5666666666667,24.3076923076923,710.57,45.1,0.5904,25.3976666666667
"2009-04",0.886666666666667,3.64333333333333,10.3066666666667,13.9166666666667,53.4827586206897,69.4666666666667,17.1034482758621,709.673333333333,34.3666666666667,0.651,30.25
"2009-05",0.628387096774194,3.44838709677419,11.2064516129032,14.6290322580645,53.9032258064516,75.5806451612903,23.4285714285714,709.590322580645,48.2258064516129,0.644161290322581,31.6048387096774
"2009-06",0.697,4.10333333333333,10.22,14.2833333333333,40.4666666666667,60.7586206896552,18.1304347826087,709.26,43.6,0.666333333333333,33.7293333333333
"2009-07",0.803333333333333,3.37037037037037,9.31481481481481,12.6555555555556,44,75.7407407407407,22.2631578947368,714.107407407407,35.962962962963,0.718111111111111,35.5725925925926
"2009-08",1.08903225806452,4.14193548387097,10.3225806451613,14.4451612903226,30.7741935483871,58.1333333333333,16.3913043478261,718.712903225806,38.8387096774194,0.617935483870968,34.2893548387097
"2009-09",1.275,4.46,14.3533333333333,18.8,45.0666666666667,72.7857142857143,43.875,718.666666666667,66.7,0.307433333333333,27.937
"2009-10",1.54967741935484,7.18709677419355,19.7548387096774,26.9161290322581,42.3225806451613,86.6451612903226,30.5666666666667,717.761290322581,64.1612903225806,0.354903225806452,25.7796774193548
"2009-11",0.532962962962963,9.03703703703704,18.3185185185185,27.3481481481481,46.9230769230769,78.68,23.9473684210526,714.185185185185,51.962962962963,0.361444444444444,22.2848148148148
"2009-12",0.73,18.741935483871,24.7096774193548,43.4548387096774,24.6451612903226,65.1666666666667,24.5217391304348,712.670967741935,61,0.310935483870968,17.5661290322581
